epoch,train_loss,train_l1,train_ssim,train_psnr,grad_norm,val_psnr,val_ssim,val_loss,test_psnr,test_ssim,test_loss,lr
1,0.162770,0.023456,0.8607,28.8794,0.3434,,,,,,,0.000100
2,0.148654,0.020010,0.8714,29.8372,0.2454,,,,,,,0.000100
3,0.145681,0.019622,0.8739,30.0333,0.0849,,,,,,,0.000100
4,0.146426,0.019813,0.8734,29.9143,0.0573,,,,,,,0.000100
5,0.143802,0.019469,0.8757,30.0719,0.0915,32.6935,0.9133,0.1039,,,,0.000100
6,0.141393,0.019294,0.8779,30.1334,0.0851,,,,,,,0.000100
7,0.141308,0.019320,0.8780,30.1093,0.1359,,,,,,,0.000100
8,0.139885,0.019194,0.8793,30.1399,0.3632,,,,,,,0.000100
9,0.137848,0.018999,0.8812,30.1932,0.0674,,,,,,,0.000100
10,0.137662,0.019002,0.8813,30.1984,0.0904,32.7177,0.9149,0.1023,,,,0.000100
11,0.137384,0.018923,0.8815,30.2164,0.0800,,,,,,,0.000100
12,0.135848,0.018810,0.8830,30.2560,0.0750,,,,,,,0.000100
13,0.135588,0.018792,0.8832,30.2439,0.0629,,,,,,,0.000100
14,0.135563,0.018798,0.8832,30.2474,0.0783,,,,,,,0.000100
15,0.135539,0.018811,0.8833,30.2427,0.0966,32.8056,0.9168,0.1002,,,,0.000100
16,0.135373,0.018792,0.8834,30.2613,0.0519,,,,,,,0.000100
17,0.133861,0.018619,0.8848,30.3368,0.1139,,,,,,,0.000100
18,0.132794,0.018560,0.8858,30.3360,0.0721,,,,,,,0.000100
19,0.133683,0.018588,0.8849,30.3207,0.1172,,,,,,,0.000100
20,0.132799,0.018508,0.8857,30.3490,0.0575,32.7099,0.9165,0.1007,,,,0.000100
21,0.132752,0.018550,0.8858,30.3410,0.0567,,,,,,,0.000100
22,0.132269,0.018478,0.8862,30.3678,0.0720,,,,,,,0.000100
23,0.131639,0.018406,0.8868,30.4112,0.0789,,,,,,,0.000100
24,0.131678,0.018412,0.8867,30.4006,0.0582,,,,,,,0.000100
25,0.131476,0.018416,0.8869,30.3987,0.0746,32.7842,0.9172,0.0998,,,,0.000100
26,0.129786,0.018220,0.8884,30.4837,0.0671,,,,,,,0.000100
